,load_gw,temp_mean,temp_min,temp_max,heating_degree_days,cooling_degree_days
2015-08-03,5913.9702380952385,25.12857142857143,18.614285714285717,31.400000000000002,0.0,3.12857142857143
2015-08-10,5981.267857142857,24.842857142857145,20.32857142857143,30.0,0.0,2.842857142857145
2015-08-17,6351.672619047619,19.928571428571427,14.785714285714286,24.82857142857143,0.0,0.0
2015-08-24,6450.130952380952,20.985714285714288,15.814285714285713,26.142857142857142,0.0,0.0
2015-08-31,6289.559523809524,16.014285714285712,12.62857142857143,19.985714285714288,1.9857142857142875,0.0
2015-09-07,6264.928571428572,15.542857142857143,11.228571428571428,20.357142857142858,2.4571428571428573,0.0
2015-09-14,6019.494047619048,15.657142857142857,11.742857142857144,20.071428571428573,2.3428571428571434,0.0
2015-09-21,6097.476190476191,13.37142857142857,9.342857142857143,17.585714285714285,4.62857142857143,0.0
2015-09-28,6781.267857142857,11.957142857142857,6.885714285714286,17.45714285714286,6.042857142857143,0.0
2015-10-05,6838.761904761905,8.814285714285715,6.128571428571428,11.757142857142856,9.185714285714285,0.0
2015-10-12,6907.065476190476,6.871428571428572,5.828571428571428,8.1,11.128571428571428,0.0
2015-10-19,6935.071428571428,9.200000000000001,6.785714285714286,11.928571428571429,8.799999999999999,0.0
2015-10-26,6663.821428571428,8.314285714285713,5.2,12.228571428571428,9.685714285714287,0.0
2015-11-02,7041.25,9.071428571428571,5.257142857142857,12.771428571428572,8.928571428571429,0.0
2015-11-09,6994.047619047619,11.042857142857143,8.7,13.028571428571428,6.957142857142857,0.0
2015-11-16,7396.047619047619,6.728571428571429,4.714285714285714,8.457142857142857,11.271428571428572,0.0
2015-11-23,7337.339285714285,2.857142857142857,0.37142857142857144,5.428571428571429,15.142857142857142,0.0
2015-11-30,7632.994047619048,7.514285714285713,5.228571428571429,9.485714285714286,10.485714285714288,0.0
2015-12-07,7617.958333333333,4.8,2.6714285714285713,6.871428571428572,13.2,0.0
2015-12-14,7987.0297619047615,8.085714285714285,6.385714285714286,9.842857142857143,9.914285714285715,0.0
2015-12-21,6295.196428571428,9.657142857142857,6.971428571428571,11.757142857142856,8.342857142857143,0.0
2015-12-28,6424.916666666667,-1.3285714285714287,-3.4857142857142853,0.7999999999999999,19.32857142857143,0.0
2016-01-04,7671.940476190476,-2.1,-4.6,0.11428571428571432,20.1,0.0
2016-01-11,8151.434523809524,-0.6857142857142858,-2.3285714285714287,1.1,18.685714285714287,0.0
2016-01-18,8563.261904761905,-1.9714285714285715,-6.085714285714286,1.385714285714286,19.97142857142857,0.0
2016-01-25,7891.297619047619,6.285714285714286,3.514285714285714,8.757142857142856,11.714285714285715,0.0
2016-02-01,7798.130952380952,5.8,3.414285714285714,8.22857142857143,12.2,0.0
2016-02-08,7763.9702380952385,3.6285714285714286,1.4714285714285715,6.257142857142858,14.371428571428572,0.0
2016-02-15,7913.767857142857,3.1571428571428575,0.2571428571428571,6.071428571428571,14.842857142857142,0.0
2016-02-22,7667.857142857143,1.6571428571428573,-1.2142857142857142,5.142857142857143,16.34285714285714,0.0
2016-02-29,7809.5297619047615,2.7285714285714286,-0.6571428571428573,6.628571428571428,15.271428571428572,0.0
2016-03-07,7790.577380952381,2.642857142857143,-0.7142857142857143,6.1571428571428575,15.357142857142858,0.0
2016-03-14,7608.297619047619,4.357142857142857,1.3285714285714287,7.957142857142857,13.642857142857142,0.0
2016-03-21,7367.839285714285,6.457142857142857,2.8428571428571425,10.6,11.542857142857143,0.0
2016-03-28,6757.934523809524,8.6,3.6571428571428575,13.685714285714285,9.4,0.0
